"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,2,0,26,-0.19041068478187,28,0.928571428571429,0.464285697704082,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"B-cells","B intermediate lambda",0,15,0,127,-0.146239652939442,142,0.894366197183099,0.447183095442373,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"B-cells","B memory kappa",0,4,0,31,-0.137987170922964,35,0.885714285714286,0.442857130204082,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"B-cells","B memory lambda",0,2,0,28,-0.201338399485512,30,0.933333333333333,0.466666651111112,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"B-cells","B naive kappa",0,16,1,188,-0.229178759256172,205,0.917073170731707,0.460784311466744,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"B-cells","B naive lambda",0,0,0,15,-0.254316791692661,15,1,0.499999966666669,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"B-cells","Plasma",0,0,0,2,-0.131165763564931,2,1,0.499999750000125,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",7047,33,18521,116,0.0639661375529925,25717,0.278531710541665,0.527070722323527,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",72,0,215,6,-0.0123076582342761,293,0.266211604095563,0.625435456299309,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","Doublet",36,0,73,0,0.226255121078951,109,0.330275229357798,0.165137613163875,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","HSPC",1,0,0,0,1.13460005375712,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","Platelet",49,0,10,0,7.03923699749265,59,0.830508474576271,0.415254230249928,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","cDC1",0,0,2,0,-0.289009127396531,2,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","cDC2_1",25,0,62,0,0.00324950530652199,87,0.28735632183908,0.143678159268067,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","cDC2_2",12,0,13,0,0.113544661016562,25,0.48,0.2399999904,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","pDC",2,0,3,0,0.0120275275609401,5,0.4,0.199999960000008,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","ASDC_mDC",0,0,0,1,-0.320793191508735,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","CD14 Mono",12,1,73,8,-0.0351074647805964,94,0.212765957446809,0.515032629525402,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","CD16 Mono",9,1,42,2,-0.065667865264743,54,0.203703703703704,0.421568514609803,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","CD4 CTL",0,0,0,2,-0.206103190144602,2,1,0.499999750000125,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","CD4 Naive",0,0,12,16,-0.184616239407848,28,0.571428571428571,0.499999968750002,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","CD4 TCM_1",0,0,9,11,-0.171630758613648,20,0.55,0.499999954545459,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","CD4 TCM_2",0,0,5,5,-0.247136255879173,10,0.5,0.49999990000002,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","CD4 TCM_3",1,0,12,4,-0.144997229650185,17,0.294117647058824,0.53846141050299,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","CD4 TEM_1",0,0,1,1,-0.159744648763019,2,0.5,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","CD4 TEM_3",2,0,3,2,0.170561699379614,7,0.571428571428571,0.699999710000133,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","CD8 Naive",2,1,20,13,-0.0796546185389728,36,0.416666666666667,0.509740224510881,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","CD8 Naive_2",0,1,1,0,0.325003590664585,2,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","CD8 Proliferating",1,0,1,0,0.389976885924538,2,0.5,0.249999875000062,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","CD8 TCM_1",0,0,0,2,-0.14118839819303,2,1,0.499999750000125,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","CD8 TCM_2",0,0,2,1,-0.171500579910353,3,0.333333333333333,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","CD8 TCM_3",0,0,2,1,-0.142446630729652,3,0.333333333333333,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","CD8 TEM_1",0,0,5,2,-0.219245970214719,7,0.285714285714286,0.499999750000125,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","CD8 TEM_2",0,0,2,0,-0.201661223616352,2,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","CD8 TEM_4",1,0,1,2,0.231252517518144,4,0.75,0.749999625000187,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","CD8 TEM_5",0,0,1,0,-0.348218238553865,1,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","Doublet",8,0,7,1,1.08209690667088,16,0.5625,0.76666614888939,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","HSPC",0,0,1,0,-0.3384874195805,1,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","MAIT",0,0,2,0,-0.122701634299157,2,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","NK Proliferating",0,0,1,0,-0.475836437435351,1,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","NK_1",0,0,0,1,-0.350157699471197,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","NK_3",0,0,1,0,-0.250839340145104,1,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","NK_CD56bright",0,0,0,1,-0.360236675559432,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","Platelet",13,2,2,0,7.38391436766144,17,0.764705882352941,0.433333304444446,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","Treg Memory",1,0,1,0,0.658641527222883,2,0.5,0.249999875000062,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","Treg Naive",0,0,3,1,-0.158625109936407,4,0.25,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","cDC2_1",4,0,4,0,0.263439254301768,8,0.5,0.249999968750004,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","cDC2_2",3,1,9,2,-0.00587682320424326,15,0.333333333333333,0.458333211805593,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","dnT_2",0,0,1,0,-0.224906405734834,1,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","gdT_1",1,0,0,0,1.02872084289388,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","gdT_2",0,0,0,1,-0.333769897028586,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","gdT_3",0,0,0,1,-0.177235697797366,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"DCs","pDC",1,0,1,0,0.0872714331157249,2,0.5,0.249999875000062,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Early-NK-cells","CD16 Mono",0,1,0,4,-0.0444846433119007,5,0.8,0.399999920000016,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.27429202985472,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.352098295245127,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.208127170009527,1,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.216129589634152,2,1,0.499999750000125,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Early-NK-cells","CD8 TEM_4",0,1,0,4,0.240462400087152,5,0.8,0.399999920000016,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Early-NK-cells","CD8 TEM_5",0,1,1,14,-0.0750884653020093,16,0.875,0.466666635555558,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Early-NK-cells","NK Proliferating",0,2,0,19,-0.298315705782127,21,0.904761904761905,0.452380930839003,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Early-NK-cells","NK_1",3,45,7,504,-0.118762500355176,559,0.906976744186046,0.609016377606529,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Early-NK-cells","NK_2",0,16,4,195,-0.168765888305046,215,0.906976744186046,0.462085305866894,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Early-NK-cells","NK_3",0,6,1,30,-0.0544453125893336,37,0.810810810810811,0.416666655092593,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Early-NK-cells","NK_4",0,2,0,15,-0.0665134566631746,17,0.882352941176471,0.44117644463668,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Early-NK-cells","NK_CD56bright",0,0,0,1,-0.338290505357645,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Early-NK-cells","gdT_2",0,0,0,1,-0.302349619101453,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Intermediate-Monocytes","CD14 Mono",116,1,367,13,0.0430771678315481,497,0.259557344064386,0.584368496608822,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Intermediate-Monocytes","CD16 Mono",492,7,1046,16,0.0664172090270993,1561,0.325432415118514,0.50777405612497,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Intermediate-Monocytes","Doublet",82,0,27,0,1.58842727829235,109,0.752293577981651,0.376146785539938,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Intermediate-Monocytes","Platelet",2,0,1,0,4.64209927058643,3,0.666666666666667,0.333333222222259,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","ASDC_mDC",0,0,0,7,-0.292265484073892,7,1,0.499999928571439,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","ASDC_pDC",0,0,0,3,-0.301058845341003,3,1,0.499999833333389,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","B intermediate kappa",0,0,0,4,-0.278945042686603,4,1,0.499999875000031,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","B intermediate lambda",0,0,0,1,-0.219744491568149,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","B memory kappa",0,0,0,3,-0.205793863405532,3,1,0.499999833333389,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","B memory lambda",0,0,0,1,-0.0552331698261099,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","B naive kappa",0,0,0,1,-0.202185069578531,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","CD14 Mono",0,1,2,3,-0.0536605496852973,6,0.5,0.374999906250023,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","CD16 Mono",168,202,404,494,0.0456266547795569,1268,0.522082018927445,0.501738203557783,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","CD4 CTL",0,0,0,1,-0.11806498231988,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","CD4 Naive",0,9,0,69,-0.0101817459530526,78,0.884615384615385,0.442307686637081,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","CD4 TCM_1",0,0,0,5,-0.214349164408712,5,1,0.49999990000002,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","CD4 TEM_2",0,0,0,1,-0.145246219712373,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","CD8 Naive",0,7,1,234,-0.157783238502635,242,0.966942148760331,0.485477176408808,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","CD8 Naive_2",0,1,0,2,0.027088641136862,3,0.666666666666667,0.333333222222259,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","CD8 Proliferating",0,0,0,2,-0.338271541635138,2,1,0.499999750000125,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","CD8 TCM_1",0,0,0,5,-0.18358017576351,5,1,0.49999990000002,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","CD8 TCM_2",0,0,0,9,-0.201036255751061,9,1,0.499999944444451,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","CD8 TEM_1",0,1,0,33,-0.192061557049244,34,0.970588235294118,0.485294103373703,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","CD8 TEM_2",0,4,0,61,-0.16047281661862,65,0.938461538461538,0.469230762011834,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","CD8 TEM_3",0,0,0,8,-0.16405093921632,8,1,0.499999937500008,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","CD8 TEM_4",0,5,1,27,0.0162022455300135,33,0.818181818181818,0.421874986816407,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","CD8 TEM_5",1,5,1,42,-0.0672792406291672,49,0.877551020408163,0.696808376131796,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","CD8 TEM_6",0,6,0,59,-0.0680306443931378,65,0.907692307692308,0.453846146863905,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","Doublet",9,0,7,0,1.06781610540667,16,0.5625,0.281249982421876,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","HSPC",0,5,1,20,-0.163330031727104,26,0.769230769230769,0.399999984000001,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","ILC",0,11,1,64,-0.0270821876749217,76,0.842105263157895,0.426666660977778,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","MAIT",0,0,1,10,-0.217866694543136,11,0.909090909090909,0.499999950000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","NK Proliferating",0,37,6,306,-0.278319341137937,349,0.876790830945559,0.446064138641212,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","NK_1",1,137,18,1725,-0.148617799492095,1881,0.917597022860181,0.489527388269517,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","NK_2",6,487,68,6147,-0.172982047284271,6708,0.917262969588551,0.50383568613932,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
"Late-NK-cells","NK_3",0,134,6,1517,-0.151229749522851,1657,0.915509957754979,0.459418533943417,"AddModuleScore","HP_ABNORMAL",FALSE,"youden"
